EmployeeNumber,Attrition
104,No
1638,No
164,No
395,No
53,No
1467,Yes
727,No
351,No
555,Yes
253,No
1363,No
1799,No
42,Yes
724,No
1671,No
1624,Yes
1778,No
930,No
514,Yes
669,No
32,No
1015,No
1858,No
1383,No
894,No
336,No
208,No
684,Yes
362,No
364,Yes
428,No
1836,No
1893,No
837,No
1085,No
881,Yes
1725,No
1125,No
1361,No
1161,No
1428,No
975,No
1928,Yes
1317,No
1258,No
875,No
377,No
2025,No
543,No
24,No
1805,No
1239,No
1641,No
1443,No
970,Yes
340,No
1871,No
1117,No
1464,Yes
1941,No
1803,No
450,No
474,No
827,No
1677,No
1098,Yes
511,No
1612,No
2061,No
372,No
103,No
819,Yes
900,No
1615,No
1639,Yes
717,No
1224,No
1998,No
1457,Yes
1802,No
558,No
1311,No
1293,No
1004,Yes
1434,No
184,No
1163,No
451,No
1070,No
483,No
1954,No
416,No
374,No
683,No
460,No
314,No
721,No
139,No
1635,No
352,No
580,No
1056,No
388,No
1556,No
194,No
305,No
246,No
1714,Yes
820,No
1850,No
1647,No
1955,No
1228,No
1961,No
1678,No
1875,No
1981,No
2060,No
1544,No
1033,Yes
1032,No
527,No
1336,No
924,No
507,No
1627,No
758,No
1243,No
124,No
1441,No
1267,No
895,No
487,No
1162,No
2014,No
692,No
1783,Yes
1077,Yes
96,No
455,No
836,No
775,No
1425,No
498,No
36,No
1362,No
1669,No
1094,No
454,Yes
1251,No
207,No
1881,No
1611,No
933,No
56,No
505,No
463,No
1027,No
967,Yes
1088,No
446,No
233,No
1166,No
293,No
1847,No
1150,No
1601,No
306,No
1233,No
1970,No
397,No
730,No
107,No
1701,No
1466,No
39,No
145,No
458,No
23,No
83,No
844,No
1655,No
1308,No
1809,Yes
462,No
1676,No
1045,No
378,No
1167,Yes
1967,Yes
1774,No
2015,No
1193,No
1499,No
386,No
406,No
807,No
1873,No
1397,No
228,No
987,No
1698,No
1350,No
567,No
772,No
1854,No
799,No
21,No
1515,No
475,No
1645,Yes
605,No
430,No
1240,No
110,No
238,No
738,No
38,No
731,No
615,No
1591,No
1431,No
1694,No
743,No
178,No
1211,No
1830,No
952,Yes
1932,No
1552,No
261,Yes
1083,No
1975,No
1035,No
1002,No
960,Yes
215,No
824,No
335,No
675,No
1504,Yes
667,Yes
829,No
1673,No
1746,No
1206,No
312,No
1024,No
1766,No
1082,Yes
57,No
709,No
444,No
702,Yes
118,Yes
1459,Yes
242,No
441,No
2021,No
1481,No
574,No
1929,No
76,No
26,No
404,No
1496,No
423,No
1709,No
1096,No
1465,No
1724,No
2032,Yes
1956,No
1204,No
204,No
437,No
918,Yes
245,No
686,No
641,No
7,No
1043,No
1299,Yes
1242,No
868,No
950,No
957,No
479,No
11,No
879,No
781,No
175,Yes
1586,No
1752,Yes
608,Yes
407,No
1608,No
1207,No
2,No
1133,No
1782,No
332,No
422,No
148,No
582,Yes
1598,No
1628,No
1852,No
789,No
154,No
1732,No
1355,No
1472,No
826,No
1503,No
1736,No
35,No
994,Yes
1215,No
977,Yes
153,No
1594,No
1124,No
341,No
2018,No
1692,Yes
631,Yes
997,No
299,Yes
1892,No
843,No
291,Yes
1196,No
2022,No
64,Yes
1485,No
940,No
1704,No
1815,No
1231,No
411,No
639,No
190,Yes
353,No
922,Yes
925,No
250,No
1143,No
150,No
2041,No
621,No
2053,No
1979,No
131,No
2027,Yes
1422,No
259,No
297,Yes
665,No
1996,No
1281,No
165,Yes
885,No
281,No
1535,No
926,Yes
1968,Yes
1136,No
1474,No
664,No
1973,No
33,Yes
160,No
847,No
1522,Yes
1185,No
1248,Yes
1216,No
1813,No
15,No
1218,No
587,Yes
1572,Yes
47,Yes
1486,Yes
1377,No
445,Yes
620,No
1798,No
1935,No
382,No
2044,Yes
776,No
1658,No
910,No
1834,No
1100,Yes
949,No
1754,No
916,No
1138,No
143,No
544,No
524,No
1277,Yes
1137,No
1583,No
1283,No
12,No
823,No
112,No
581,No
1912,No
1022,No
197,No
1827,No
1525,No
1329,No
1712,No
1927,No
30,No
1346,No
862,No
2062,No
1529,No
2010,No
333,No
1938,No
1018,No
842,Yes
749,No
206,No
1971,No
804,No
959,Yes
496,No
1839,No
746,No
1547,No
998,No
1280,No
1255,No
183,No
1865,No
1703,No
1947,No
1279,Yes
1409,No
262,No
495,No
793,No
1460,No
1391,No
134,No
1989,No
119,No
2055,Yes
754,No
1683,No
920,No
274,No
1745,No
461,No
1596,No
1900,No
532,No
1602,No
171,No
1509,No
934,No
1609,No
1372,Yes
369,No
315,Yes
1310,Yes
198,No
1264,No
1697,No
465,No
1435,No
334,No
1523,No
1734,Yes
339,No
992,No
31,Yes
161,Yes
2068,No
534,No
803,No
1969,No
1751,No
1430,No
113,No
880,No
367,No
1541,No
137,Yes
2048,No
742,No
1780,Yes
1761,Yes
1985,No
1661,No
8,No
715,No
720,Yes
1226,No
602,No
128,No
1448,No
1106,Yes
182,No
1367,No
1870,No
40,No
1987,No
549,No
1001,No
927,Yes
584,Yes
1184,No
1548,No
585,No
27,Yes
226,No
1017,Yes
792,No
221,No
2064,No
1356,No
599,No
513,No
1152,No
1109,No
771,No
1458,Yes
1446,No
2000,No
1076,No
1389,Yes
733,No
874,No
1740,No
1275,No
852,No
1585,No
1662,No
1707,No
55,Yes
762,No
1318,Yes
586,No
1411,No
2045,No
796,Yes
1940,No
1049,No
384,No
1013,No
510,Yes
1878,Yes
1533,No
1722,No
1885,No
162,No
2023,Yes
1421,Yes
1392,No
1886,No
1375,No
1767,Yes
1768,No
800,No
426,No
932,Yes
1588,No
296,No
947,No
1682,No
1546,No
1502,No
1069,No
1716,Yes
536,No
825,Yes
632,No
663,No
649,No
625,No
200,No
1693,No
630,No
1489,Yes
763,No
1733,Yes
845,No
550,No
448,No
241,No
1403,No
556,No
811,Yes
1007,No
309,No
1542,No
1358,No
433,Yes
419,No
1298,No
284,No
783,No
1412,No
1026,No
1824,No
976,No
566,Yes
469,No
254,No
1965,No
1364,No
1484,No
169,No
1613,No
1250,No
999,No
1527,No
20,No
1225,No
518,No
699,No
1270,No
2019,No
1190,No
1417,No
624,No
1156,Yes
1265,No
1922,No
806,No
1127,Yes
564,No
529,No
485,Yes
424,No
121,No
1037,Yes
1436,No
1960,Yes
1720,No
387,No
70,No
1157,Yes
700,No
1822,No
838,No
941,No
1420,Yes
338,No
449,No
1691,Yes
1651,No
1617,No
812,No
614,Yes
1737,No
945,No
1804,No
889,No
343,No
520,No
1415,No
252,No
1079,Yes
716,No
1837,No
501,No
288,No
958,No
850,No
1551,No
1721,No
1949,No
1797,Yes
848,Yes
565,Yes
1739,No
1670,No
1092,No
140,No
1640,No
337,No
2007,No
1252,No
1449,No
1419,No
1340,No
612,No
964,No
350,No
644,No
2057,No
51,No
1081,Yes
2038,No
1480,No
1046,No
729,No
98,No
1379,Yes
1706,No
1405,Yes
1945,No
484,No
638,No
376,Yes
1553,No
1212,No
961,No
1294,No
1103,No
1980,No
981,No
936,No
308,No
1380,Yes
1210,Yes
235,Yes
859,No
1042,Yes
882,No
1657,No
1118,No
984,No
1241,No
1775,No
1903,No
410,No
1101,Yes
1304,No
319,No
420,No
723,Yes
1440,No
833,No
1599,No
972,No
476,No
766,No
1273,Yes
1401,No
1573,Yes
1289,No
722,No
224,No
116,No
385,No
193,No
1974,No
488,Yes
1931,No
1667,Yes
1756,No
662,No
1055,No
1012,No
712,No
1801,No
