EmployeeNumber,Attrition
100000,1
100001,1
100002,1
100003,1
100004,1
100005,1
100006,1
100007,1
100008,1
100009,1
100010,1
100011,1
100012,1
100013,1
100014,1
100015,1
100016,1
100017,1
100018,1
100019,1
100020,1
100021,1
100022,1
100023,1
100024,1
100025,1
100026,1
100027,1
100028,1
100029,1
100030,1
100031,1
100032,1
100033,1
100034,1
100035,1
100036,1
100037,1
100038,1
100039,1
100040,1
100041,1
100042,1
100043,1
100044,1
100045,1
100046,1
100047,1
100048,1
100049,1
100050,1
100051,1
100052,1
100053,1
100054,1
100055,1
100056,1
100057,1
100058,1
100059,1
100060,1
100061,1
100062,1
100063,1
100064,1
100065,1
100066,1
100067,1
100068,1
100069,1
100070,1
100071,1
100072,1
100073,1
100074,1
100075,1
100076,1
100077,1
100078,1
100079,1
100080,1
100081,1
100082,1
100083,1
100084,1
100085,1
100086,1
100087,1
100088,1
100089,1
100090,1
100091,1
100092,1
100093,1
100094,1
100095,1
100096,1
100097,1
100098,1
100099,1
100100,1
100101,1
100102,1
100103,1
100104,1
100105,1
100106,1
100107,1
100108,1
100109,1
100110,1
100111,1
100112,1
100113,1
100114,1
100115,1
100116,1
100117,1
100118,1
100119,1
100120,1
100121,1
100122,1
100123,1
100124,1
100125,1
100126,1
100127,1
100128,1
100129,1
100130,1
100131,1
100132,1
100133,1
100134,1
100135,1
100136,1
100137,1
100138,1
100139,1
100140,1
100141,1
100142,1
100143,1
100144,1
100145,1
100146,1
